player-name,WK,role,format,matches,innings,not-outs,Runs scored,Highest Score,Average,BF,Strike-rate,100s,50s,4s,6s,Catches,Stumpings,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w
AB de Villiers,1,bat,t20,332,312,65,9318,133*,37.72,6192,150.48,4,69,746,430,223,18,332,-,-,-,-,-,-,-,-,-,-,-,-
AB de Villiers,1,bat,list-a,263,252,44,11123,176,53.47,,,29,63,,,203,5,263,,192,202,7,2/15,2/15,28.85,6.31,27.40,0,0,0
Dan Christian,0,all,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dan Christian,0,all,t20i,16,7,3,27,9,6.75,28,96.42,0,0,2,0,5,0,16,16,213,317,11,3/27,3/27,28.81,8.92,19.30,0,0,0
Dan Christian,0,all,odi,19,18,5,273,39,21.00,307,88.92,0,0,23,3,10,0,19,19,727,595,20,5/31,5/31,29.75,4.91,36.30,0,1,0
Dan Christian,0,all,fc,83,141,17,3783,131*,30.50,7035,53.77,5,16,463,60,90,0,83,134,10301,5679,163,5/24,9/87,34.84,3.30,63.10,7,3,0
Dan Christian,0,all,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dan Christian,0,all,t20,350,301,82,5174,129,23.62,3700,139.83,2,15,336,260,154,0,350,309,5287,7438,259,5/14,5/14,28.71,8.44,20.40,7,2,0
Dan Christian,0,all,list-a,119,108,21,2844,117,32.68,2798,101.64,2,14,243,86,43,0,119,99,3896,3585,107,6/48,6/48,33.50,5.52,36.40,1,3,0
Srikar Bharat,1,bat,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Srikar Bharat,1,bat,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Srikar Bharat,1,bat,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Srikar Bharat,1,bat,fc,78,123,8,4283,308,37.24,7193,59.54,9,23,534,78,270,31,78,-,-,-,-,-,-,-,-,-,-,-,-
Srikar Bharat,1,bat,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Srikar Bharat,1,bat,t20,48,44,3,730,76,17.80,688,106.10,0,3,63,29,36,10,48,-,-,-,-,-,-,-,-,-,-,-,-
Srikar Bharat,1,bat,list-a,51,51,3,1351,125,28.14,1937,69.74,3,5,139,17,54,11,51,-,-,-,-,-,-,-,-,-,-,-,-
Kyle Jamieson,0,bowl,test,6,6,2,226,51*,56.50,320,70.62,0,1,19,9,2,0,6,12,1202,478,36,6/48,11/117,13.27,2.38,33.30,1,4,1
Kyle Jamieson,0,bowl,t20i,8,4,2,41,30,20.50,27,151.85,0,0,7,0,3,0,8,8,172,281,4,2/15,2/15,70.25,9.80,43.00,0,0,0
Kyle Jamieson,0,bowl,odi,5,1,1,25,25*,-,24,104.16,0,0,1,2,2,0,5,5,276,186,5,2/42,2/42,37.20,4.04,55.20,0,0,0
Kyle Jamieson,0,bowl,fc,34,44,8,773,67,21.47,1417,54.55,0,5,79,23,6,0,34,60,5408,2706,128,8/74,11/117,21.14,3.00,42.20,3,10,2
Kyle Jamieson,0,bowl,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyle Jamieson,0,bowl,t20,49,24,12,290,33*,24.16,205,141.46,0,0,23,8,11,0,49,49,1070,1508,64,6/7,6/7,23.56,8.45,16.70,1,1,0
Kyle Jamieson,0,bowl,list-a,33,20,13,261,67,37.28,237,110.12,0,1,17,7,9,0,33,32,1487,1307,42,4/49,4/49,31.11,5.27,35.40,1,0,0
Navdeep Saini,0,bowl,test,2,3,1,8,5,4.00,27,29.62,0,0,1,0,1,0,2,4,251,172,4,2/54,4/119,43.00,4.11,62.70,0,0,0
Navdeep Saini,0,bowl,t20i,10,2,2,11,11*,-,10,110.00,0,0,2,0,3,0,10,9,197,235,13,3/17,3/17,18.07,7.15,15.10,0,0,0
Navdeep Saini,0,bowl,odi,7,4,3,92,45,92.00,100,92.00,0,0,9,3,3,0,7,7,390,454,6,2/58,2/58,75.66,6.98,65.00,0,0,0
Navdeep Saini,0,bowl,fc,48,49,20,269,42*,9.27,628,42.83,0,0,35,2,14,0,48,83,7924,3816,132,6/32,7/79,28.90,2.88,60.00,4,4,0
Navdeep Saini,0,bowl,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Navdeep Saini,0,bowl,t20,59,13,9,52,12*,13.00,64,81.25,0,0,5,0,14,0,59,58,1266,1564,49,3/17,3/17,31.91,7.41,25.80,0,0,0
Navdeep Saini,0,bowl,list-a,54,25,16,191,45,21.22,304,62.82,0,0,18,5,12,0,54,54,2783,2450,81,5/46,5/46,30.24,5.28,34.30,2,1,0
Washington Sundar,0,all,test,4,6,2,265,96*,66.25,502,52.78,0,3,31,5,1,0,4,7,526,299,6,3/89,4/169,49.83,3.41,87.60,0,0,0
Washington Sundar,0,all,t20i,31,11,4,47,14*,6.71,32,146.87,0,0,4,3,10,0,31,30,621,750,25,3/22,3/22,30.00,7.24,24.80,0,0,0
Washington Sundar,0,all,odi,1,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,60,65,1,1/65,1/65,65.00,6.50,60.00,0,0,0
Washington Sundar,0,all,fc,16,23,2,797,159,37.95,1516,52.57,1,5,90,13,7,0,16,27,2266,1107,36,6/87,11/181,30.75,2.93,62.90,1,2,1
Washington Sundar,0,all,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Washington Sundar,0,all,t20,98,61,19,866,54*,20.61,730,118.63,0,2,66,28,28,0,98,96,1887,2129,74,3/10,3/10,28.77,6.76,25.50,0,0,0
Washington Sundar,0,all,list-a,39,27,6,427,45,20.33,545,78.34,0,0,25,7,14,0,39,33,1460,1124,24,2/20,2/20,46.83,4.61,60.80,0,0,0
Rajat Patidar,0,bat,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajat Patidar,0,bat,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajat Patidar,0,bat,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajat Patidar,0,bat,fc,36,63,3,2253,196,37.54,4604,48.93,6,11,310,5,41,0,36,-,-,-,-,-,-,-,-,-,-,-,-
Rajat Patidar,0,bat,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajat Patidar,0,bat,t20,26,26,2,770,96,32.08,549,140.25,0,6,65,31,16,0,26,-,-,-,-,-,-,-,-,-,-,-,-
Rajat Patidar,0,bat,list-a,37,36,1,1246,158,35.60,1290,96.58,3,5,147,25,12,0,37,-,-,-,-,-,-,-,-,-,-,-,-
Daniel Sams,0,all,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daniel Sams,0,all,t20i,4,4,2,54,41,27.00,23,234.78,0,0,4,4,2,0,4,4,82,156,4,2/40,2/40,39.00,11.41,20.50,0,0,0
Daniel Sams,0,all,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daniel Sams,0,all,fc,5,10,0,255,88,25.50,280,91.07,0,2,22,12,2,0,5,8,928,494,13,4/55,6/147,38.00,3.19,71.30,1,0,0
Daniel Sams,0,all,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daniel Sams,0,all,t20,56,46,10,491,65*,13.63,333,147.44,0,2,27,30,17,0,56,54,1078,1525,68,4/14,4/14,22.42,8.48,15.80,2,0,0
Daniel Sams,0,all,list-a,12,9,0,239,62,26.55,229,104.36,0,2,12,14,4,0,12,11,518,442,17,5/46,5/46,26.00,5.11,30.40,0,1,0
Mohammed Azharuddeen,1,bat,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mohammed Azharuddeen,1,bat,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mohammed Azharuddeen,1,bat,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mohammed Azharuddeen,1,bat,fc,22,37,0,959,112,25.91,1504,63.76,1,5,121,15,59,8,22,-,-,-,-,-,-,-,-,-,-,-,-
Mohammed Azharuddeen,1,bat,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mohammed Azharuddeen,1,bat,t20,24,22,2,451,137*,22.55,317,142.27,1,0,30,27,19,0,24,-,-,-,-,-,-,-,-,-,-,-,-
Mohammed Azharuddeen,1,bat,list-a,30,28,5,585,73,25.43,602,97.17,0,5,55,16,25,3,30,-,-,-,-,-,-,-,-,-,-,-,-
Mohammed Siraj,0,bowl,test,5,6,2,39,16*,9.75,48,81.25,0,0,4,2,3,0,5,10,962,452,16,5/73,6/150,28.25,2.81,60.10,0,1,0
Mohammed Siraj,0,bowl,t20i,3,-,-,-,-,-,-,-,-,-,-,-,1,0,3,3,72,148,3,1/45,1/45,49.33,12.33,24.00,0,0,0
Mohammed Siraj,0,bowl,odi,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,60,76,0,-,-,-,7.60,-,0,0,0
Mohammed Siraj,0,bowl,fc,43,54,8,361,46,7.84,642,56.23,0,0,45,12,9,0,43,77,7799,4016,168,8/59,11/136,23.90,3.08,46.40,13,5,2
Mohammed Siraj,0,bowl,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mohammed Siraj,0,bowl,t20,74,22,12,81,14,8.10,98,82.65,0,0,7,2,23,0,74,73,1584,2208,96,4/20,4/20,23.00,8.36,16.50,3,0,0
Mohammed Siraj,0,bowl,list-a,46,28,12,138,36*,8.62,173,79.76,0,0,14,3,6,0,46,46,2142,1893,81,5/37,5/37,23.37,5.30,26.40,2,3,0
Shubman Gill,0,bat,test,7,13,2,378,91,34.36,644,58.69,0,3,51,5,4,0,7,-,-,-,-,-,-,-,-,-,-,-,-
Shubman Gill,0,bat,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shubman Gill,0,bat,odi,3,3,0,49,33,16.33,71,69.01,0,0,5,1,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-
Shubman Gill,0,bat,fc,30,51,7,2648,268,60.18,3712,71.33,7,14,325,35,18,0,30,2,36,31,0,-,-,-,5.16,-,0,0,0
Shubman Gill,0,bat,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shubman Gill,0,bat,t20,58,55,12,1349,78,31.37,1061,127.14,0,9,129,41,23,0,58,-,-,-,-,-,-,-,-,-,-,-,-
Shubman Gill,0,bat,list-a,58,57,6,2313,143,45.35,2622,88.21,6,11,234,42,26,0,58,1,6,4,0,-,-,-,4.00,-,0,0,0
Kamlesh Nagarkoti,0,bowl,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kamlesh Nagarkoti,0,bowl,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kamlesh Nagarkoti,0,bowl,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kamlesh Nagarkoti,0,bowl,fc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kamlesh Nagarkoti,0,bowl,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kamlesh Nagarkoti,0,bowl,t20,11,7,3,22,8*,5.50,33,66.66,0,0,1,0,4,0,11,10,168,256,5,2/13,2/13,51.20,9.14,33.60,0,0,0
Kamlesh Nagarkoti,0,bowl,list-a,9,7,2,131,56*,26.20,166,78.91,0,1,12,1,2,0,9,9,346,275,11,3/30,3/30,25.00,4.76,31.40,0,0,0
Shivam Mavi,0,all,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shivam Mavi,0,all,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shivam Mavi,0,all,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shivam Mavi,0,all,fc,6,6,0,115,42,19.16,252,45.63,0,0,15,0,0,0,6,12,1068,540,25,5/68,6/83,21.60,3.03,42.70,3,1,0
